epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,130.447,1.51104,3.35482,1.17125,0.31829,0.05794,0.02786,0.01718,1.58802,4.78811,1.35988,3.97647e-05,3.97647e-05,3.97647e-05
40,133.313,1.5265,3.39733,1.20756,0.36568,0.05497,0.02946,0.01692,1.59162,4.73674,1.35253,3.96795e-05,3.96795e-05,3.96795e-05
41,136.068,1.47742,3.1062,1.2075,0.28531,0.05902,0.03312,0.01882,1.58905,4.7101,1.3472,3.95944e-05,3.95944e-05,3.95944e-05
42,139.174,1.50208,3.05772,1.19714,0.25066,0.07133,0.03246,0.01868,1.5857,4.67089,1.34374,3.95093e-05,3.95093e-05,3.95093e-05
43,142.314,1.46327,3.10232,1.14785,0.26461,0.08161,0.0348,0.01923,1.58042,4.66403,1.33759,3.94241e-05,3.94241e-05,3.94241e-05
44,145.233,1.46982,2.9643,1.155,0.26711,0.08187,0.03653,0.01973,1.5796,4.63568,1.33276,3.9339e-05,3.9339e-05,3.9339e-05
45,148.14,1.53178,3.09847,1.19688,0.31762,0.07913,0.03656,0.01965,1.58522,4.62571,1.33528,3.92538e-05,3.92538e-05,3.92538e-05
46,150.868,1.44979,2.94857,1.17308,0.28106,0.08357,0.03773,0.02091,1.5849,4.60064,1.33302,3.91687e-05,3.91687e-05,3.91687e-05
47,154.26,1.51261,3.01534,1.14519,0.2687,0.09213,0.03922,0.02231,1.5861,4.60538,1.33464,3.90836e-05,3.90836e-05,3.90836e-05
48,157.173,1.48049,2.91591,1.16351,0.28231,0.09288,0.04382,0.02557,1.57744,4.56343,1.32648,3.89984e-05,3.89984e-05,3.89984e-05
49,160.077,1.47253,2.81512,1.15404,0.29487,0.09387,0.04223,0.02449,1.58145,4.54759,1.32582,3.89133e-05,3.89133e-05,3.89133e-05
50,162.869,1.48173,2.87401,1.18369,0.28151,0.10242,0.05039,0.03065,1.5817,4.5369,1.32348,3.88281e-05,3.88281e-05,3.88281e-05
51,166.319,1.48244,2.81473,1.17094,0.25712,0.1119,0.05076,0.03049,1.57783,4.52584,1.31955,3.8743e-05,3.8743e-05,3.8743e-05
52,169.294,1.48211,2.7696,1.16832,0.28222,0.10306,0.05077,0.02993,1.57005,4.50179,1.31369,3.86579e-05,3.86579e-05,3.86579e-05
53,172.066,1.48101,2.6581,1.17626,0.28442,0.0953,0.04887,0.0296,1.56483,4.49233,1.31224,3.85727e-05,3.85727e-05,3.85727e-05
54,174.862,1.38715,2.56226,1.1598,0.31158,0.08953,0.04618,0.02856,1.56086,4.47524,1.31175,3.84876e-05,3.84876e-05,3.84876e-05
55,178.097,1.42023,2.63312,1.14664,0.30072,0.08763,0.04637,0.02938,1.55324,4.4688,1.30982,3.84024e-05,3.84024e-05,3.84024e-05
56,181.208,1.44161,2.61647,1.1496,0.2269,0.10419,0.04883,0.03089,1.53866,4.42628,1.30463,3.83173e-05,3.83173e-05,3.83173e-05
57,184.136,1.41079,2.5188,1.13734,0.21546,0.10938,0.05078,0.03105,1.53929,4.40216,1.30293,3.82322e-05,3.82322e-05,3.82322e-05
58,187.092,1.46427,2.47847,1.17269,0.20543,0.11498,0.05188,0.03224,1.53659,4.37584,1.3017,3.8147e-05,3.8147e-05,3.8147e-05
59,190.283,1.42609,2.48461,1.11739,0.19339,0.11298,0.05162,0.03216,1.5386,4.37603,1.30414,3.80619e-05,3.80619e-05,3.80619e-05
60,193.379,1.41689,2.42828,1.12805,0.17073,0.11393,0.05472,0.03387,1.54658,4.38,1.30955,3.79767e-05,3.79767e-05,3.79767e-05
61,196.355,1.41828,2.38202,1.12492,0.19546,0.10407,0.05547,0.03449,1.55465,4.39143,1.3129,3.78916e-05,3.78916e-05,3.78916e-05
62,199.345,1.42451,2.42524,1.13127,0.19347,0.09984,0.05537,0.03442,1.5577,4.40463,1.31459,3.78065e-05,3.78065e-05,3.78065e-05
63,202.378,1.41737,2.33748,1.11957,0.2191,0.10013,0.05818,0.03681,1.55911,4.41112,1.31544,3.77213e-05,3.77213e-05,3.77213e-05
64,205.675,1.39732,2.25497,1.12117,0.22963,0.09833,0.06063,0.03808,1.55985,4.42937,1.31644,3.76362e-05,3.76362e-05,3.76362e-05
65,208.58,1.38193,2.28349,1.12273,0.21786,0.09807,0.05928,0.0381,1.55484,4.42935,1.31396,3.7551e-05,3.7551e-05,3.7551e-05
66,211.387,1.40317,2.23854,1.09656,0.2062,0.10364,0.05679,0.03558,1.55324,4.42748,1.31263,3.74659e-05,3.74659e-05,3.74659e-05
67,214.236,1.37118,2.18878,1.1131,0.20456,0.09854,0.05559,0.03459,1.55234,4.41802,1.31093,3.73808e-05,3.73808e-05,3.73808e-05
68,217.497,1.38686,2.18094,1.15052,0.25649,0.10368,0.05898,0.03686,1.55731,4.38049,1.30943,3.72956e-05,3.72956e-05,3.72956e-05
69,220.37,1.36048,2.01739,1.12149,0.24032,0.10012,0.05924,0.03728,1.56029,4.35938,1.30736,3.72105e-05,3.72105e-05,3.72105e-05
70,223.15,1.37342,2.10108,1.10818,0.4009,0.07221,0.06142,0.03856,1.55562,4.36091,1.30441,3.71253e-05,3.71253e-05,3.71253e-05
71,226.112,1.36517,2.09842,1.11978,0.39992,0.07441,0.06064,0.03882,1.55222,4.35055,1.3031,3.70402e-05,3.70402e-05,3.70402e-05
